ORISPL_CODE,UNITID,NAME,STATE,FUEL,GAS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
469,1,Cherokee,CO,coal,SO2,4956567.998,6164685.363,4918438.214,4325062.503,4330534.011,4376269.447,3882837.962,5065749.829,3096369.348,4013388.788,5448125.694,1983714.274,,,,,,
469,1,Cherokee,CO,coal,NOX,2496180.812,2918630.53,3256612.967,2687496.385,2879186.251,2831916.516,2564855.482,3940609.072,1737288.782,2115998.34,2824898.818,765155.485,,,,,,
469,1,Cherokee,CO,coal,gen,718914.33,801830.74,887663.3,755782.92,807935.66,765905.26,681353.46,708001.28,447921.69,571601.98,758792.92,206665.78,,,,,,
469,2,Cherokee,CO,coal,CO2,933274.28,629958.19,865053.817,761651.253,992304.906,821464.386,799645.405,808496.111,539134.815,926842.925,664225.183,,,,,,,
469,2,Cherokee,CO,coal,SO2,7293431.614,5053220.08,3925786.902,3881799.131,4883896.541,3680599.788,3848815.432,3800728.254,3399875.162,5633177.139,4800036.866,,,,,,,
469,2,Cherokee,CO,coal,NOX,7010537.169,4944758.66,5846245.064,4722161.563,6766944.558,5640963.679,5433418.211,6296805.444,4648950.397,6859494.156,4829641.307,,,,,,,
469,2,Cherokee,CO,coal,gen,787192.51,577064.6,792920.92,666188.25,861523.75,808059.64,723221.97,680649.74,482644.35,741964.01,551199.55,,,,,,,
469,3,Cherokee,CO,coal,CO2,1177601.397,995926.643,1290210.671,1209472.039,1100486.632,1208418.871,1155598.772,1197236.637,1019347.586,995247.291,989707.737,885725.458,1161883.064,1210943.083,525017.321,,,
469,3,Cherokee,CO,coal,SO2,9068242.605,6165612.087,1058640.345,1328415.929,1407916.435,1557003.246,1572900.595,1329097.558,1767754.466,1914806.165,1404557.809,1235223.24,1751315.107,2016090.54,1092969.855,,,
469,3,Cherokee,CO,coal,NOX,3856931.519,3116263.414,4130315.829,3675261.453,3640454.286,3740404.662,3590801.705,3861761.779,3389579.79,3524448.725,3456298.219,3092340.907,4055700.107,3994760.963,1583185.802,,,
469,3,Cherokee,CO,coal,gen,1079118.54,920155.26,1148856.84,1106373.9,1005201.4,1117060.35,1125152.01,1006639.81,880923.13,872728.14,899069.51,893690.98,1086957.02,1146551.28,484232.92,,,
469,4,Cherokee,CO,coal,CO2,2348489.822,2216333.6,2260919.883,2623528.963,2788504.448,2581982.166,2710249.166,2708271.486,1704365.669,1762136.982,2280249.513,2195393.067,2166222.108,2372874.734,2453615.253,2397497.195,1340941.158,34340.985
469,4,Cherokee,CO,coal,SO2,14667739.91,14530426.66,1953862.714,3357202.805,3499677.958,4618117.069,4859690.143,3334717.841,3161671.917,3320845.141,3157270.891,3289042.144,3416357.101,3541748.818,3784567.067,3801162.721,2172059.212,347.947
469,4,Cherokee,CO,coal,NOX,7040096.933,7971232.618,7674396.732,8536025.164,8315275.544,8193320.363,8999646.639,8451044.864,5218419.951,5222647.319,6880248.833,6243892.346,6288299.061,6681123.476,6813813.065,6764054.411,3133624.66,46596.081
469,4,Cherokee,CO,coal,gen,2653152.05,2420213.67,2217992.09,2850309.35,2761663.16,2537928.98,2671352.66,2570673.25,1731213,1879907.93,2183954.89,2246765.4,2082304.74,2233454.47,2100363.83,2170966.31,1185739.2,46235.47
470,1,Comanche (470),CO,coal,CO2,2611608.748,2893746.962,2761851.52,2116914.397,2628704.34,2588377.299,2562108.203,2012951.054,2542298.891,2182533.643,1861222.833,2038336.146,2411259.332,1969836.496,2105835.663,2312777.881,1696785.688,311846.2
470,1,Comanche (470),CO,coal,SO2,15342412.75,16047741.56,14337001.73,10736491.33,13226089.09,12599880.24,12826039.6,9865580.467,3113473.689,1402174.428,1225362.354,1426516.441,1785312.1,1451233.561,1506045.983,1833827.972,1434886.942,256611.484
470,1,Comanche (470),CO,coal,NOX,5696808.485,9546198.104,9625156.633,6840610.553,8115713.12,7853999.643,8276356.472,5667350.831,3021327.862,2677403.971,2203483.622,2456068.215,2940946.322,2472254.494,2419242.755,2720394.871,1949702.076,391070.577
470,1,Comanche (470),CO,coal,gen,2354498.41,2381696.76,2461120.55,1900488.82,2509360.97,2551807.88,2641953.01,2026642.1,2593601.47,2306387.19,1987697.51,2304066.95,2454567.37,2120601.5,2227104.2,2374450.34,1756285.36,325523
470,2,Comanche (470),CO,coal,CO2,2582383.881,2799628.453,3240186.574,3215174.067,2614086.823,2993202.092,2467805.047,3047811.852,2874756.78,1886702.443,2216032.734,2775815.792,2246722.134,2660152.623,2679646.611,2150996.11,2057091.715,300595.7
470,2,Comanche (470),CO,coal,SO2,16478064.73,17498924.45,18125393.23,17163127.85,13659112.14,15107598.43,12383876.85,11380135.23,2487880.355,1198086.898,1497026.081,1908439.887,1670079.544,1944729.678,1945791.754,1709212.504,1656291.185,255898.3
470,2,Comanche (470),CO,coal,NOX,7989081.539,8073092.096,8598658.502,8482190.846,7826809.954,8968081.153,6664460.817,5032449.304,4698204.783,2947755.592,3478638.775,4435408.224,3489891.242,4178085.777,3859489.126,3243582.332,3255474.289,493310.218
470,2,Comanche (470),CO,coal,gen,2500529.46,2767321.86,2895670.35,2830813.8,2221442.01,2785777.99,2252693.42,2788268.81,2608361.56,1881701.71,2108299.59,2609956.36,2124895.95,2546994.82,2529243.19,2009588.84,1947048.1,286083
470,3,Comanche (470),CO,coal,CO2,,,,,,,,,,3110266.327,3864524.931,4899410.252,4939600.697,4092521.6,4451715.954,5189414.4,3386044.11,637244.833
470,3,Comanche (470),CO,coal,SO2,,,,,,,,,,2538157.322,2767229.285,3423026.521,3536578.275,2918536.332,3138640.202,4113257.391,2689400.281,524501.448
470,3,Comanche (470),CO,coal,NOX,,,,,,,,,,2128662.602,2371421.37,3179053.817,3183134.036,2666399.47,2810406.547,3249958.813,2139337.381,406407.877
470,3,Comanche (470),CO,coal,gen,,,,,,,,,,3561906.85,4059197.4,5011563.04,5168219.5,4372431.34,4655983.79,5415052.72,3573408.41,676848
